time_point,aqi,pm2_5,pm10,so2,no2,co,o3,rank,quality
2020-12-01,53,25,42,3,42,0.5,33,128,良
2020-12-02,35,17,35,3,28,0.4,56,162,优
2020-12-03,31,8,20,3,21,0.3,61,13,优
2020-12-04,29,8,19,3,21,0.3,58,3,优
2020-12-05,55,24,39,6,44,0.5,43,17,良
2020-12-06,52,34,54,6,36,0.6,57,125,良
2020-12-07,27,8,25,3,15,0.3,54,79,优
2020-12-08,54,22,42,5,43,0.5,34,33,良
2020-12-09,79,46,82,6,63,0.9,12,178,良
2020-12-10,87,56,93,5,69,1.1,23,190,良
2020-12-11,65,32,56,4,52,0.6,37,157,良
2020-12-12,97,72,98,4,59,1.3,22,138,良
2020-12-13,28,8,26,3,8,0.3,56,79,优
2020-12-14,27,11,27,3,20,0.4,46,7,优
2020-12-15,44,16,39,4,35,0.4,28,65,优
2020-12-16,44,21,44,5,35,0.5,42,74,优
2020-12-17,69,35,71,5,55,0.8,17,185,良
2020-12-18,29,9,27,3,19,0.3,58,75,优
2020-12-19,64,26,54,6,51,0.6,24,47,良
2020-12-20,54,24,42,5,43,0.6,51,151,良
2020-12-21,70,37,56,6,56,0.7,32,59,良
2020-12-22,80,53,77,6,64,0.9,20,161,良
2020-12-23,89,37,127,5,28,0.6,66,204,良
2020-12-24,55,20,60,3,26,0.4,57,101,良
2020-12-25,70,34,84,6,56,0.8,27,130,良
2020-12-26,74,48,98,10,57,1.3,14,133,良
2020-12-27,88,65,102,7,59,1.4,22,150,良
2020-12-28,77,56,90,7,37,0.9,33,221,良
2020-12-29,52,8,53,3,6,0.3,54,121,良
2020-12-30,31,6,31,2,8,0.3,56,47,优
2020-12-31,36,12,36,3,28,0.4,48,46,优
